tract,county,GEOID,FuelOilEstimate,TotalHouseholds,FuelOilPercent
1,New York,NewYork1,0.0,0.0,
2.01,New York,NewYork2.01,61.0,823.0,7.41
2.02,New York,NewYork2.02,309.0,3191.0,9.68
5,New York,NewYork5,0.0,0.0,
6,New York,NewYork6,420.0,5243.0,8.01
7,New York,NewYork7,217.0,5117.0,4.24
8,New York,NewYork8,282.0,4324.0,6.52
9,New York,NewYork9,0.0,872.0,0.0
10.01,New York,NewYork10.01,125.0,796.0,15.7
10.02,New York,NewYork10.02,729.0,2448.0,29.78
12,New York,NewYork12,198.0,1944.0,10.19
13,New York,NewYork13,52.0,2915.0,1.78
14.01,New York,NewYork14.01,206.0,1761.0,11.7
14.02,New York,NewYork14.02,132.0,1807.0,7.3
15.01,New York,NewYork15.01,144.0,3398.0,4.24
15.02,New York,NewYork15.02,98.0,4054.0,2.42
16,New York,NewYork16,96.0,3385.0,2.84
18,New York,NewYork18,166.0,2979.0,5.57
20,New York,NewYork20,596.0,2022.0,29.48
21,New York,NewYork21,114.0,3382.0,3.37
22.01,New York,NewYork22.01,320.0,3011.0,10.63
22.02,New York,NewYork22.02,57.0,995.0,5.73
24,New York,NewYork24,678.0,1776.0,38.18
25,New York,NewYork25,77.0,1920.0,4.01
26.01,New York,NewYork26.01,496.0,1916.0,25.89
26.02,New York,NewYork26.02,247.0,1907.0,12.95
27,New York,NewYork27,15.0,636.0,2.36
28,New York,NewYork28,671.0,3108.0,21.59
29.01,New York,NewYork29.01,0.0,79.0,0.0
29.02,New York,NewYork29.02,29.0,1893.0,1.53
30.01,New York,NewYork30.01,139.0,2247.0,6.19
30.02,New York,NewYork30.02,130.0,1745.0,7.45
31,New York,NewYork31,33.0,769.0,4.29
32,New York,NewYork32,806.0,4625.0,17.43
33,New York,NewYork33,413.0,2606.0,15.85
34,New York,NewYork34,314.0,3958.0,7.93
36.01,New York,NewYork36.01,138.0,1449.0,9.52
36.02,New York,NewYork36.02,154.0,1523.0,10.11
37,New York,NewYork37,275.0,1908.0,14.41
38,New York,NewYork38,752.0,4564.0,16.48
39,New York,NewYork39,141.0,2831.0,4.98
40.01,New York,NewYork40.01,376.0,1971.0,19.08
40.02,New York,NewYork40.02,151.0,2049.0,7.37
41,New York,NewYork41,201.0,3247.0,6.19
42,New York,NewYork42,276.0,1532.0,18.02
43,New York,NewYork43,243.0,2498.0,9.73
44,New York,NewYork44,519.0,8336.0,6.23
