Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude, , .1,Charge Count,Charged
A0126801,INS-000651322,2023-07-03,2023,BA-1118791-2022,292 FUEL STOP INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,292,NEPTUNE AVE,,,,BROOKLYN,NY,11235,Brooklyn,313.0,48.0,3244404.0,3086640420.0,BK19,40.581114,-73.96388448,,,0,False
A0126806,INS-000651328,2023-07-03,2023,BA-1431425-2022,NEPTUNE FUEL STOP INC,Allegiance,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,4,0,2,Confiscated,Complete Address,2001,NEPTUNE AVE,,,,BROOKLYN,NY,11224,Brooklyn,313.0,47.0,3188421.0,3069920041.0,BK21,40.57868984,-73.98750114,,,0,False
A0126981,INS-000651571,2023-07-05,2023,BA-1318452-2022,JARNAIL PETROLEUM INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,1924,FLATBUSH AVE,,,,BROOKLYN,NY,11210,Brooklyn,318.0,45.0,3217120.0,3078150001.0,BK58,40.62278492,-73.93705376,,,0,False
A0126993,INS-000651588,2023-07-05,2023,BA-1547535-2022,WILLIAMSBURG SERVICE CENTER INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,713,KENT AVE,,,,BROOKLYN,NY,11249,Brooklyn,301.0,33.0,3060705.0,3022160006.0,BK72,40.69984718,-73.96156973,,,0,False
A0126914,INS-000651487,2023-07-05,2023,BA-1545133-2022,SPRAGUE OPERATING RESOURCES LLC,,Fuel Oil Dealer - 814,WAM - Petroleum,Fuel Oil,Fuel Oil Meter Test,Petrol Meter Type B,1,0,2,Confiscated,Complete Address,1,BAY BLVD,,,,LAWRENCE,NY,11559,Outside NYC,,,,,,,,,,0,False
A0127064,INS-000651682,2023-07-05,2023,BA-1326151-2022,GOALS SERVICE STATION INC,GOALS SERVICE STATION,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,3260,BROADWAY,,,,NEW YORK,NY,10027,Manhattan,109.0,7.0,1059724.0,1019860001.0,MN06,40.81763895,-73.95685923,,,0,False
A0127002,INS-000651599,2023-07-05,2023,BA-1492154-2022,WEST MOBIL ON 8TH INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,1,Confiscated,Complete Address,51,8TH AVE,,,,NEW YORK,NY,10014,Manhattan,102.0,3.0,1011658.0,1006260040.0,MN23,40.73870011,-74.00386836,,,0,False
A0127202,INS-000651949,2023-07-06,2023,BA-1292089-2022,"GRAND SLAM ENT NY, INC.",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,640,CONDUIT BOULEVARD,,,,BROOKLYN,NY,11208,Brooklyn,305.0,42.0,3095219.0,3042390001.0,BK82,40.67568205,-73.86606911,,,0,False
A0127186,INS-000651921,2023-07-06,2023,BA-1117828-2022,BOLLA OPERATING CORP.,BOLLA 130-37 MERRICK BLVD,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,3132,FORT HAMILTON PKWY,,,,BROOKLYN,NY,11218,Brooklyn,307.0,39.0,3123972.0,3053150001.0,BK40,40.64795085,-73.97966827,,,0,False
A0127407,INS-000652270,2023-07-07,2023,BA-1668711-2023,NAGLE FUEL CORP.,BP,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,265,NAGLE AVE,,,,NEW YORK,NY,10034,Manhattan,112.0,10.0,1064706.0,1022160058.0,MN01,40.86314612,-73.92051402,,,0,False
