Record ID,Intake Date,Intake Channel,311 SR Number,Business Category,Complaint Code,Business Unique ID,Business Name,Result Date,Result,Referred To,Contract Cancelled Amount,Refund Amount,Address Type,Building Nbr,Street1,Street2,Street3,Unit Type,Apt/Suite,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Census Block (2010),Census Tract (2010),Latitude,Longitude
013871-2023-CMPL,07/24/2023,311,311-15255827,Storage Warehouse,Unlicensed,BA-1603588-2023,Locals let,07/24/2023,No Jurisdiction,,,,Complete Address,410,W 48TH ST,,,,,NEW YORK,NY,10036,Manhattan,104,03,1080941,1010570040,MN15,3000,127,40.76251870601764,-73.99055666584103
013872-2023-CMPL,07/24/2023,311,311-15256399,Megastore,Damaged Goods - D01,BA-1603589-2023,lot less,07/24/2023,Referred,Other,,,Complete Address,44,COURT ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3002242,3002550001,BK09,1002,9,40.6925905861397,-73.9909632355784
013873-2023-CMPL,07/24/2023,311,311-15256528,Misc Non-Food Retail,Overcharge,BA-1603590-2023,104 smoke shop,08/23/2023,Requested Information Not Provided,,,,Complete Address,10418,NORTHERN BLVD,,,,,CORONA,NY,11368,Queens,403,21,4042655,4017190008,QN26,3000,379,40.757693584208525,-73.86436652866769
013874-2023-CMPL,07/24/2023,311,311-15256527,Tow Truck Company,Overcharge,BA-1295662-2022,J&C TOWING,08/23/2023,Requested Information Not Provided,,,,Complete Address,9,WOODHULL ST,,,,,BROOKLYN,NY,11231,Brooklyn,306,39,3000000,3003570006,BK33,3004,51,40.68182585426352,-74.00469432081661
013875-2023-CMPL,07/24/2023,311,311-15256593,Auto Rental,Non-Delivery of Goods - N01,BA-1602692-2023,HERTZ,08/23/2023,Requested Information Not Provided,,,,Complete Address,157,W 83RD ST,,,,,NEW YORK,NY,10024,Manhattan,107,06,1032112,1012140010,MN12,4000,169,40.78520167494055,-73.97515585869253
013876-2023-CMPL,07/24/2023,311,311-15256822,Hotel/Motel,Exchange/Refund/Return,BA-1603591-2023,Untitled at 3 Freeman,08/23/2023,Requested Information Not Provided,,,,Complete Address,3,FREEMAN ALY,,,,,NEW YORK,NY,10002,Manhattan,103,01,1089461,1004260005,MN27,3002,3601,40.72187183680296,-73.99251054852492
013877-2023-CMPL,07/24/2023,311,311-15257136,Stoop Line Stand,Sidewalk Blocked,BA-1603592-2023,Jamrock Jerk,07/24/2023,Information Provided,,,,Cross Street (Intersection),,109 AVENUE,139 STREET,,,,,NY,11435,Queens,412,28,,,,,194,40.6875071490867,-73.8066581162885
013878-2023-CMPL,07/24/2023,311,311-15257097,Misc Non-Food Retail,Non-Delivery of Goods - N01,BA-1603593-2023,Perfect Threading Studio,07/24/2023,Referred,NYC Department of Health & Mental Hygiene,,,Complete Address,546,COLUMBUS AVE,,,,,NEW YORK,NY,10024,Manhattan,107,06,1032201,1012170035,MN12,1000,173,40.78676818941059,-73.97198107143204
013880-2023-CMPL,07/24/2023,311,311-15257514,Misc Non-Food Retail,Exchange/Refund/Return,BA-1432684-2022,My Unique Thrift Store,08/23/2023,Requested Information Not Provided,,,,Complete Address,218,W 234TH ST,,,,,BRONX,NY,10463,Bronx,208,11,2083561,2057550041,BX29,3000,287,40.88196710936535,-73.90334290547828
013881-2023-CMPL,07/24/2023,311,311-15257072,Hotel/Motel,Exchange/Refund/Return,BA-1603594-2023,"Untitled, 3 Freeman Alley",08/23/2023,Requested Information Not Provided,,,,Complete Address,3,FREEMAN ALY,,,,,NEW YORK,NY,10002,Manhattan,103,01,1089461,1004260005,MN27,3002,3601,40.72187183680296,-73.99251054852492
013882-2023-CMPL,07/24/2023,311,311-15257592,Tow Truck Company,Unsolicited/Unauthorized Services,BA-1562245-2022,XTREME AUTOMOTIVE INC.,07/24/2023,Insufficient Info Received,,,,Complete Address,3511,COLLEGE POINT BLVD,,,,,FLUSHING,NY,11354,Queens,407,20,4111884,4049450001,QN22,1006,869,40.76313756956972,-73.83572912531218
013883-2023-CMPL,07/24/2023,311,311-15257596,Home Improvement Contractor,Quality of Work - Q01,BA-1549575-2022,RAYS CONTRACTING LLC,09/21/2023,Goods Repaired - GRS,,,,Complete Address,8565,151ST ST,,,,,JAMAICA,NY,11432,Queens,408,24,4208374,4097340053,QN35,2004,230,40.71022994686734,-73.80759135103459
013884-2023-CMPL,07/24/2023,311,311-15257388,Restaurant,Price Gouging,BA-1603596-2023,Focaccia farmer,08/26/2023,Complaint Review Complete,,,,Complete Address,452,SENECA AVE,,,,,RIDGEWOOD,NY,11385,Queens,405,34,4081941,4034320029,QN20,1002,545,40.706219122772694,-73.91347313042908
013885-2023-CMPL,07/24/2023,311,311-15257762,Restaurant,Overcharge,BA-1603597-2023,787 Coffee,08/23/2023,Requested Information Not Provided,,,,Complete Address,595,METROPOLITAN AVE,,,,,BROOKLYN,NY,11211,Brooklyn,301,34,3068693,3027570036,BK90,2001,501,40.714109572782796,-73.94897954184253
013886-2023-CMPL,07/24/2023,311,311-15257813,Supermarket,Condemned/Expired Scale,BA-1603598-2023,ideal supermarket,07/24/2023,No Jurisdiction,,,,Complete Address,840,E NEW YORK AVE,,,,,BROOKLYN,NY,11203,Brooklyn,309,41,3107131,3048060089,BK60,1001,876,40.66252289541401,-73.93518520937378
