NAME,county,total_housing_units,fuel_oil_kerosene_units,fuel_oil_pct,median_household_income,total_population,white_alone_population,minority_population,minority_pct
Census Tract 1; Bronx County; New York,Bronx,0,0,,,3538,1393,2145,60.62747314867156
Census Tract 2; Bronx County; New York,Bronx,1446,112,7.745504840940526,121171.0,5177,782,4395,84.8947266756809
Census Tract 4; Bronx County; New York,Bronx,2246,117,5.209260908281389,98242.0,6481,532,5949,91.79139021755903
Census Tract 16; Bronx County; New York,Bronx,2149,393,18.287575616565846,42957.0,6011,260,5751,95.67459657294958
Census Tract 19.01; Bronx County; New York,Bronx,1092,61,5.586080586080587,67361.0,2401,513,1888,78.63390254060808
Census Tract 19.02; Bronx County; New York,Bronx,566,114,20.141342756183743,76429.0,1979,115,1864,94.188984335523
Census Tract 19.03; Bronx County; New York,Bronx,0,0,,,0,0,0,
Census Tract 19.04; Bronx County; New York,Bronx,0,0,,,0,0,0,
Census Tract 20.01; Bronx County; New York,Bronx,1726,343,19.872537659327925,23208.0,4300,626,3674,85.44186046511628
Census Tract 20.02; Bronx County; New York,Bronx,1832,428,23.362445414847162,18029.0,3689,596,3093,83.84386012469504
Census Tract 23; Bronx County; New York,Bronx,1917,106,5.529473135106938,18750.0,4527,456,4071,89.9271040424122
Census Tract 24; Bronx County; New York,Bronx,0,0,,,0,0,0,
Census Tract 25; Bronx County; New York,Bronx,1903,541,28.42879663688912,27207.0,5460,1056,4404,80.65934065934066
Census Tract 27.01; Bronx County; New York,Bronx,1167,191,16.36675235646958,18788.0,2830,150,2680,94.69964664310953
Census Tract 27.02; Bronx County; New York,Bronx,1508,286,18.96551724137931,31379.0,5156,235,4921,95.4422032583398
Census Tract 28; Bronx County; New York,Bronx,2717,606,22.30401177769599,66235.0,5420,591,4829,89.09594095940959
Census Tract 31; Bronx County; New York,Bronx,1104,17,1.5398550724637683,43480.0,2641,393,2248,85.1192730026505
Census Tract 33; Bronx County; New York,Bronx,1225,61,4.979591836734694,37957.0,3407,262,3145,92.30995010272967
Census Tract 35; Bronx County; New York,Bronx,1483,229,15.441672285906947,34508.0,3529,289,3240,91.81071124964579
Census Tract 37; Bronx County; New York,Bronx,158,8,5.063291139240507,,285,24,261,91.57894736842105
Census Tract 38; Bronx County; New York,Bronx,377,35,9.283819628647215,42614.0,1215,34,1181,97.20164609053498
Census Tract 39; Bronx County; New York,Bronx,2299,462,20.095693779904305,28508.0,6346,905,5441,85.73904821935078
Census Tract 40.01; Bronx County; New York,Bronx,507,43,8.481262327416173,76050.0,1378,142,1236,89.69521044992743
Census Tract 41; Bronx County; New York,Bronx,2359,624,26.45188639253921,21819.0,6272,746,5526,88.10586734693877
Census Tract 42; Bronx County; New York,Bronx,2837,300,10.574550581600283,52974.0,7976,1086,6890,86.38415245737212
Census Tract 43; Bronx County; New York,Bronx,2099,277,13.196760362077178,29704.0,5041,636,4405,87.38345566355882
Census Tract 44; Bronx County; New York,Bronx,1578,571,36.1850443599493,21016.0,4323,513,3810,88.13324080499653
Census Tract 46; Bronx County; New York,Bronx,658,120,18.237082066869302,21346.0,1784,439,1345,75.39237668161435
Census Tract 48; Bronx County; New York,Bronx,1504,703,46.74202127659575,45118.0,4139,434,3705,89.51437545300797
Census Tract 50.01; Bronx County; New York,Bronx,1343,654,48.69694713328369,35164.0,4597,80,4517,98.25973460952795
Census Tract 50.02; Bronx County; New York,Bronx,1888,904,47.88135593220339,36066.0,6338,119,6219,98.122436099716
Census Tract 51; Bronx County; New York,Bronx,2621,623,23.76955360549409,25468.0,6795,651,6144,90.41942604856513
Census Tract 52; Bronx County; New York,Bronx,788,331,42.00507614213198,35147.0,1787,119,1668,93.34079462786794
Census Tract 53; Bronx County; New York,Bronx,1595,72,4.5141065830721,22352.0,4596,517,4079,88.75108790252393
Census Tract 54; Bronx County; New York,Bronx,1702,676,39.71797884841363,58452.0,5306,92,5214,98.26611383339615
Census Tract 56; Bronx County; New York,Bronx,1025,387,37.75609756097561,47628.0,2531,58,2473,97.70841564598973
Census Tract 59.02; Bronx County; New York,Bronx,1286,198,15.396578538102643,46902.0,3044,795,2249,73.88304862023654
Census Tract 60; Bronx County; New York,Bronx,385,164,42.59740259740259,53371.0,1220,53,1167,95.65573770491802
Census Tract 61; Bronx County; New York,Bronx,1940,394,20.309278350515463,75608.0,3835,326,3509,91.4993481095176
Census Tract 62; Bronx County; New York,Bronx,2489,1365,54.84130172760145,27243.0,6206,265,5941,95.72993876893328
Census Tract 63.01; Bronx County; New York,Bronx,2584,431,16.679566563467493,58118.0,6244,1551,4693,75.16015374759769
Census Tract 63.02; Bronx County; New York,Bronx,0,0,,,0,0,0,
Census Tract 64; Bronx County; New York,Bronx,1407,347,24.662402274342572,40778.0,3847,239,3608,93.78736677930856
Census Tract 65; Bronx County; New York,Bronx,2153,343,15.931258708778447,24184.0,5182,1325,3857,74.43072172906214
Census Tract 67; Bronx County; New York,Bronx,2595,252,9.710982658959537,,5892,119,5773,97.98031228784792
Census Tract 68; Bronx County; New York,Bronx,917,222,24.209378407851688,33996.0,2621,310,2311,88.17245326211369
Census Tract 69; Bronx County; New York,Bronx,2804,266,9.486447931526392,32199.0,6524,635,5889,90.26670754138564
Census Tract 70; Bronx County; New York,Bronx,1373,485,35.32410779315368,43672.0,4201,459,3742,89.07402999285884
Census Tract 71; Bronx County; New York,Bronx,1386,63,4.545454545454546,34853.0,2562,319,2243,87.5487900078064
Census Tract 72; Bronx County; New York,Bronx,1623,793,48.86013555144794,64464.0,5371,476,4895,91.13759076522064
Census Tract 73; Bronx County; New York,Bronx,1552,21,1.3530927835051547,31442.0,4555,419,4136,90.801317233809
Census Tract 74; Bronx County; New York,Bronx,1380,88,6.3768115942028984,52641.0,3281,285,2996,91.31362389515391
Census Tract 75; Bronx County; New York,Bronx,2449,225,9.187423438138016,35892.0,6543,1161,5382,82.25584594222833
Census Tract 76; Bronx County; New York,Bronx,1825,743,40.71232876712329,53650.0,5317,271,5046,94.90314086891104
Census Tract 77; Bronx County; New York,Bronx,591,81,13.705583756345177,44447.0,1996,315,1681,84.21843687374749
Census Tract 78; Bronx County; New York,Bronx,1981,745,37.60726905603231,58513.0,5858,878,4980,85.01194947080914
Census Tract 79; Bronx County; New York,Bronx,2290,505,22.05240174672489,36514.0,6987,164,6823,97.65278374123372
Census Tract 83; Bronx County; New York,Bronx,2239,567,25.323805270209913,53560.0,6588,379,6209,94.24711596842744
Census Tract 84; Bronx County; New York,Bronx,1008,91,9.027777777777777,57083.0,2716,400,2316,85.27245949926362
Census Tract 85; Bronx County; New York,Bronx,2110,352,16.682464454976305,43531.0,5665,723,4942,87.23742277140335
Census Tract 86; Bronx County; New York,Bronx,1539,138,8.966861598440545,24023.0,4117,633,3484,84.62472674277386
Census Tract 87; Bronx County; New York,Bronx,2109,443,21.00521574205785,40708.0,6299,445,5854,92.93538656929672
Census Tract 89; Bronx County; New York,Bronx,1327,143,10.776186887716655,36625.0,2993,347,2646,88.4062813230872
Census Tract 90; Bronx County; New York,Bronx,1221,180,14.742014742014742,33275.0,3593,594,2999,83.46785416086836
